Node	Gene	Type	CIN_surv	Invasive_surv	MSIorCIMP_surv
AKR1C4_mrna	AKR1C4	mrna	died	died	died
AKR1C4_prot	AKR1C4	prot	died	died	died
AKR7A2_mrna	AKR7A2	mrna	died	died	died
AKR7A2_prot	AKR7A2	prot	died	died	died
AKR7A3_prot	AKR7A3	prot	died	died	died
AKT1S1_mrna	AKT1S1	mrna	died	died	died
AKT1_mrna	AKT1	mrna	died	died	died
AKT2_mrna	AKT2	mrna	died	died	died
ALAD_prot	ALAD	prot	died	died	died
ALB_prot	ALB	prot	died	prot	died
ALCAM_prot	ALCAM	prot	died	died	died
ALDH16A1_mrna	ALDH16A1	mrna	died	died	died
ALDH16A1_prot	ALDH16A1	prot	died	died	died
ALDH18A1_mrna	ALDH18A1	mrna	died	died	died
ALDH18A1_prot	ALDH18A1	prot	died	died	died
ALDH1A1_prot	ALDH1A1	prot	died	died	died
ALDH1A2_mrna	ALDH1A2	mrna	died	died	died
ALDH1A3_mrna	ALDH1A3	mrna	died	died	died
ALDH1B1_prot	ALDH1B1	prot	died	died	died
ALDH1L2_mrna	ALDH1L2	mrna	died	died	died
ALDH2_mrna	ALDH2	mrna	died	died	died
ALDH2_prot	ALDH2	prot	died	died	died
ALDH3A1_prot	ALDH3A1	prot	died	died	died
ALDH3A2_prot	ALDH3A2	prot	died	prot	died
ALDH4A1_prot	ALDH4A1	prot	died	died	died
ALDH5A1_prot	ALDH5A1	prot	prot	died	died
ALDH6A1_mrna	ALDH6A1	mrna	died	died	died
ALDH6A1_prot	ALDH6A1	prot	died	died	died
ALDH7A1_prot	ALDH7A1	prot	died	died	died
ALDH9A1_prot	ALDH9A1	prot	died	died	died
ALDOA_prot	ALDOA	prot	died	died	died
ALDOB_mrna	ALDOB	mrna	died	died	died
ALDOB_prot	ALDOB	prot	died	died	died
ALDOC_prot	ALDOC	prot	died	died	died
ALG10B_mrna	ALG10B	mrna	died	died	died
ALG10_mrna	ALG10	mrna	died	died	died
ALG11_mrna	ALG11	mrna	died	died	died
ALG13_mrna	ALG13	mrna	died	died	died
ALG1_mrna	ALG1	mrna	died	died	died
ALG2_prot	ALG2	prot	died	died	died
ALG3_mrna	ALG3	mrna	mrna	died	died
ALG5_prot	ALG5	prot	died	died	died
ALG6_mrna	ALG6	mrna	died	died	died
ALG8_mrna	ALG8	mrna	died	died	died
ALG9_mrna	ALG9	mrna	died	died	died
ALKBH1_mrna	ALKBH1	mrna	died	died	died
ALKBH2_mrna	ALKBH2	mrna	died	died	died
ALKBH5_mrna	ALKBH5	mrna	died	died	died
ALKBH7_mrna	ALKBH7	mrna	died	died	died
ALKBH8_mrna	ALKBH8	mrna	died	died	died
ALMS1_mrna	ALMS1	mrna	died	died	died
ALOX12_mrna	ALOX12	mrna	died	died	died
ALOX15_mrna	ALOX15	mrna	died	died	died
ALOX15_prot	ALOX15	prot	died	died	died
ALOX5AP_mrna	ALOX5AP	mrna	died	mrna	mrna
ALOX5_mrna	ALOX5	mrna	died	died	died
ALOX5_prot	ALOX5	prot	died	prot	died
ALPI_mrna	ALPI	mrna	died	died	died
ALYREF_mrna	ALYREF	mrna	died	died	died
ALYREF_prot	ALYREF	prot	died	died	died
AMACR_mrna	AMACR	mrna	died	died	died
AMACR_prot	AMACR	prot	died	died	died
AMBP_prot	AMBP	prot	died	died	died
AMFR_mrna	AMFR	mrna	died	died	died
AMH_mrna	AMH	mrna	died	died	died
AMMECR1_mrna	AMMECR1	mrna	died	died	died
AMN1_mrna	AMN1	mrna	died	died	died
AMY2B_mrna	AMY2B	mrna	mrna	died	died
ANAPC11_mrna	ANAPC11	mrna	died	died	died
ANAPC16_mrna	ANAPC16	mrna	died	died	died
ANAPC1_mrna	ANAPC1	mrna	died	died	died
ANAPC4_mrna	ANAPC4	mrna	died	died	died
ANAPC5_mrna	ANAPC5	mrna	died	died	died
ANGPTL6_mrna	ANGPTL6	mrna	died	died	died
ANK1_mrna	ANK1	mrna	died	died	died
ANK1_prot	ANK1	prot	died	died	died
ANK2_mrna	ANK2	mrna	died	died	died
ANK3_prot	ANK3	prot	prot	died	died
ANKFY1_mrna	ANKFY1	mrna	died	died	died
ANKFY1_prot	ANKFY1	prot	died	died	died
ANKHD1-EIF4EBP3_mrna	ANKHD1-EIF4EBP3	mrna	died	died	died
ANKH_mrna	ANKH	mrna	died	died	died
ANKRA2_mrna	ANKRA2	mrna	died	died	died
ANKRD10_mrna	ANKRD10	mrna	died	died	died
ANKRD13B_mrna	ANKRD13B	mrna	died	died	died
ANKRD13C_mrna	ANKRD13C	mrna	died	died	died
ANKRD16_mrna	ANKRD16	mrna	died	died	died
ANKRD17_mrna	ANKRD17	mrna	died	died	died
ANKRD23_mrna	ANKRD23	mrna	died	died	died
ANKRD28_mrna	ANKRD28	mrna	died	died	died
ANKRD31_mrna	ANKRD31	mrna	died	died	died
ANKRD34A_mrna	ANKRD34A	mrna	died	died	died
ANKRD37_mrna	ANKRD37	mrna	died	died	died
ANKRD39_mrna	ANKRD39	mrna	died	died	died
ANKRD50_mrna	ANKRD50	mrna	died	died	died
ANKRD6_mrna	ANKRD6	mrna	died	died	died
ANKRD9_mrna	ANKRD9	mrna	died	died	died
ANKS4B_prot	ANKS4B	prot	died	died	died
ANLN_mrna	ANLN	mrna	died	died	died
ANO8_mrna	ANO8	mrna	died	died	died
ANP32A_mrna	ANP32A	mrna	died	died	died
ANP32A_prot	ANP32A	prot	died	died	died
ANP32B_mrna	ANP32B	mrna	died	died	died
ANP32B_prot	ANP32B	prot	died	died	died
ANP32E_mrna	ANP32E	mrna	died	died	died
ANP32E_prot	ANP32E	prot	died	died	died
ANPEP_prot	ANPEP	prot	died	died	died
ANTXR1_mrna	ANTXR1	mrna	died	died	died
ANTXR2_mrna	ANTXR2	mrna	died	died	died
ANXA10_prot	ANXA10	prot	died	died	died
ANXA11_prot	ANXA11	prot	died	died	died
ANXA13_prot	ANXA13	prot	died	died	died
ANXA1_prot	ANXA1	prot	died	prot	died
ANXA2_prot	ANXA2	prot	died	died	died
ANXA3_prot	ANXA3	prot	died	died	died
ANXA4_prot	ANXA4	prot	died	died	died
ANXA5_prot	ANXA5	prot	died	died	died
ANXA6_prot	ANXA6	prot	died	died	died
ANXA7_prot	ANXA7	prot	died	died	died
AP1B1_prot	AP1B1	prot	died	died	died
AP1G1_prot	AP1G1	prot	died	died	died
AP1G2_prot	AP1G2	prot	died	died	died
AP1M1_mrna	AP1M1	mrna	died	died	died
AP1M1_prot	AP1M1	prot	died	died	died
AP1M2_mrna	AP1M2	mrna	died	died	died
AP1M2_prot	AP1M2	prot	died	died	died
AP1S1_mrna	AP1S1	mrna	died	died	died
AP1S1_prot	AP1S1	prot	died	died	died
AP1S2_mrna	AP1S2	mrna	died	died	died
AP1S3_mrna	AP1S3	mrna	died	died	died
AP2A1_mrna	AP2A1	mrna	died	died	died
AP2A1_prot	AP2A1	prot	prot	died	died
AP2A2_prot	AP2A2	prot	prot	died	died
AP2B1_prot	AP2B1	prot	prot	died	died
AP2M1_mrna	AP2M1	mrna	died	died	died
AP2M1_prot	AP2M1	prot	died	died	died
AP2S1_mrna	AP2S1	mrna	died	died	died
AP3B1_mrna	AP3B1	mrna	died	died	died
AP3B1_prot	AP3B1	prot	died	died	died
AP3B2_mrna	AP3B2	mrna	died	died	died
AP3D1_mrna	AP3D1	mrna	died	died	died
AP3D1_prot	AP3D1	prot	died	died	died
AP3M1_mrna	AP3M1	mrna	died	died	died
AP3M1_prot	AP3M1	prot	died	died	died
AP3M2_mrna	AP3M2	mrna	died	died	died
AP3S1_prot	AP3S1	prot	died	died	died
AP4B1_mrna	AP4B1	mrna	died	died	died
AP4E1_mrna	AP4E1	mrna	died	died	died
AP4M1_mrna	AP4M1	mrna	died	died	died
AP5Z1_mrna	AP5Z1	mrna	died	died	died
APAF1_mrna	APAF1	mrna	died	died	died
APAF1_prot	APAF1	prot	died	died	died
APBA3_mrna	APBA3	mrna	died	died	died
APBB1IP_mrna	APBB1IP	mrna	mrna	died	mrna
