Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
ABT1_mrna	ABT1	mrna	ATAD3A_prot;DDX23_prot;DDX28_prot;EIF4A3_prot;ELAVL1_prot;MCM4_prot;RANBP1_prot;RBM8A_prot;SNRPA_prot;SSRP1_prot;WDR5_prot;XRCC6_prot	12
ABTB1_mrna	ABTB1	mrna	ATAD3A_prot;DDX23_prot;DDX28_prot;EIF4A3_prot;ELAVL1_prot;MCM4_prot;RANBP1_prot;RBM8A_prot;SNRPA_prot;SSRP1_prot;WDR5_prot;XRCC6_prot	12
ABTB2_mrna	ABTB2	mrna	DNASE1_prot;EIF4B_prot;HDAC1_prot	3
ACAA1_mrna	ACAA1	mrna	DNASE1_prot;EIF4B_prot;HDAC1_prot	3
ACAA1_prot	ACAA1	prot	HSD17B4_prot;MRPL53_prot;NDUFA2_prot;NDUFA7_prot;PPIB_prot;RPS19_prot;SARNP_prot;SBDS_prot;SCP2_prot;SF3B4_prot;SRPRB_prot;VDAC3_prot	12
ACAA2_mrna	ACAA2	mrna	DNASE1_prot;EIF4B_prot;HDAC1_prot	3
ACAA2_prot	ACAA2	prot	ACAT1_prot;ACO2_prot;APP_prot;LARS2_prot;P4HB_prot;PFN1_prot;PRDX1_prot;RTN4_prot;SF3B4_prot;SGTA_prot;TAX1BP3_prot;TOMM40_prot;TP53BP1_prot;VDAC1_prot;VDAC2_prot;ZFR_prot	16
ACACA_mrna	ACACA	mrna	DNASE1_prot;EIF4B_prot;HDAC1_prot	3
ACACA_prot	ACACA	prot	AKR1B10_prot;AP2M1_prot;CA9_prot;CCT3_prot;COPB1_prot;CSK_prot;CSNK1A1_prot;CSNK2A2_prot;EIF2AK2_prot;EPB41L1_prot;FKBP5_prot;HSP90AA1_prot;HSP90AB1_prot;IFIT1_prot;IKBKAP_prot;ILK_prot;KIF5B_prot;LGALS3BP_prot;NPM1_prot;NUP50_prot;OAS2_prot;OXSR1_prot;PRKAA1_prot;PRKAG1_prot;PRKCD_prot;RAE1_prot;RPS6KA1_prot;SHC1_prot;SRP14_prot;SRP9_prot;UBE2N_prot;VCP_prot	32
ACACB_mrna	ACACB	mrna	CUL4B_prot;DHX9_prot;GLS_prot;GNB1_prot;LDB3_prot;NUP50_prot;PTBP1_prot	7
