Node	Gene	Type	Basal-like_surv	HER2-enriched_surv	Luminal A_surv	Luminal B_surv
ACTR8_mrna	ACTR8	mrna	died	died	died	died
ACTR8_prot	ACTR8	prot	died	died	died	died
ACVR1B_mrna	ACVR1B	mrna	died	died	died	died
ACVR1C_mrna	ACVR1C	mrna	died	died	died	died
ACVR2A_mrna	ACVR2A	mrna	died	died	died	died
ACVR2B_mrna	ACVR2B	mrna	died	died	died	died
ACVRL1_mrna	ACVRL1	mrna	died	died	died	died
ACY1_mrna	ACY1	mrna	died	died	died	died
ACY1_prot	ACY1	prot	died	died	died	died
ACYP1_prot	ACYP1	prot	died	died	died	died
ACYP2_mrna	ACYP2	mrna	died	died	died	died
ADAM10_mrna	ADAM10	mrna	died	died	died	died
ADAM10_prot	ADAM10	prot	died	died	died	died
ADAM11_mrna	ADAM11	mrna	died	died	died	died
ADAM15_mrna	ADAM15	mrna	died	died	died	died
ADAM15_prot	ADAM15	prot	died	died	died	died
ADAM17_mrna	ADAM17	mrna	died	died	died	died
ADAM17_prot	ADAM17	prot	died	died	died	died
ADAM19_mrna	ADAM19	mrna	died	died	died	mrna
ADAM23_mrna	ADAM23	mrna	died	died	died	died
ADAM28_mrna	ADAM28	mrna	died	died	died	died
ADAM32_mrna	ADAM32	mrna	died	died	died	died
ADAM33_mrna	ADAM33	mrna	died	died	died	died
ADAM8_mrna	ADAM8	mrna	died	died	died	died
ADAM9_mrna	ADAM9	mrna	died	died	died	died
ADAM9_prot	ADAM9	prot	died	died	died	died
ADAMTS10_mrna	ADAMTS10	mrna	died	died	died	died
ADAMTS12_prot	ADAMTS12	prot	died	died	died	died
ADAMTS15_mrna	ADAMTS15	mrna	died	died	died	died
ADAMTS1_mrna	ADAMTS1	mrna	died	died	died	died
ADAMTS2_mrna	ADAMTS2	mrna	died	died	died	died
ADAMTS2_prot	ADAMTS2	prot	died	died	died	died
ADAMTS3_mrna	ADAMTS3	mrna	died	died	died	died
ADAMTS4_mrna	ADAMTS4	mrna	died	died	died	died
ADAMTS4_prot	ADAMTS4	prot	died	died	died	died
ADAMTS5_mrna	ADAMTS5	mrna	died	died	died	died
ADAMTSL2_mrna	ADAMTSL2	mrna	died	died	died	died
ADAMTSL2_prot	ADAMTSL2	prot	died	died	died	died
ADAMTSL4_mrna	ADAMTSL4	mrna	died	died	died	died
ADAMTSL4_prot	ADAMTSL4	prot	died	died	died	died
ADAMTSL5_mrna	ADAMTSL5	mrna	mrna	died	died	mrna
ADAP1_mrna	ADAP1	mrna	died	died	died	died
ADAP1_prot	ADAP1	prot	died	died	died	died
ADAP2_prot	ADAP2	prot	died	died	died	died
ADARB1_mrna	ADARB1	mrna	died	died	died	died
ADARB1_prot	ADARB1	prot	died	died	died	died
ADARB2_mrna	ADARB2	mrna	died	died	died	died
ADAR_prot	ADAR	prot	died	died	died	died
ADAT2_mrna	ADAT2	mrna	died	died	died	died
ADAT3_mrna	ADAT3	mrna	died	died	died	died
ADAT3_prot	ADAT3	prot	died	died	died	died
ADA_mrna	ADA	mrna	died	died	died	died
ADA_prot	ADA	prot	died	died	died	died
ADCK2_mrna	ADCK2	mrna	died	died	died	died
ADCK3_mrna	ADCK3	mrna	died	died	died	died
ADCK3_prot	ADCK3	prot	died	died	died	died
ADCK4_mrna	ADCK4	mrna	died	died	died	died
ADCK4_prot	ADCK4	prot	died	died	died	died
ADCY10_mrna	ADCY10	mrna	died	died	died	died
ADCY1_mrna	ADCY1	mrna	died	died	died	died
ADCY3_mrna	ADCY3	mrna	died	died	died	died
ADCY4_mrna	ADCY4	mrna	died	died	died	died
ADCY5_mrna	ADCY5	mrna	died	died	died	died
ADCY6_mrna	ADCY6	mrna	died	died	died	died
ADD1_mrna	ADD1	mrna	died	died	died	died
ADD1_prot	ADD1	prot	died	died	died	died
ADD2_prot	ADD2	prot	died	died	died	died
ADD3_mrna	ADD3	mrna	died	died	died	died
ADD3_prot	ADD3	prot	died	died	died	died
ADGRA3_mrna	ADGRA3	mrna	died	died	died	died
ADGRB1_mrna	ADGRB1	mrna	died	died	died	died
ADGRB2_mrna	ADGRB2	mrna	died	died	died	died
ADGRE5_mrna	ADGRE5	mrna	died	died	died	died
ADGRF3_mrna	ADGRF3	mrna	died	died	died	died
ADGRG1_mrna	ADGRG1	mrna	died	died	died	died
ADGRL1_mrna	ADGRL1	mrna	died	died	died	died
ADH1B_prot	ADH1B	prot	died	died	died	died
ADH1C_prot	ADH1C	prot	died	died	died	died
ADH5_mrna	ADH5	mrna	died	died	died	died
ADH5_prot	ADH5	prot	died	died	died	died
ADH6_mrna	ADH6	mrna	died	died	died	died
ADHFE1_mrna	ADHFE1	mrna	died	died	died	died
ADHFE1_prot	ADHFE1	prot	died	died	died	died
ADI1_prot	ADI1	prot	died	died	died	died
ADIPOQ_mrna	ADIPOQ	mrna	mrna	died	died	died
