Edge	NodeA	NodeB	InteractionType	Basal-like_dikNew	Basal-like_sigEdge	Basal-like_dir	Basal-like_absdiknew	HER2-enriched_dikNew	HER2-enriched_sigEdge	HER2-enriched_dir	HER2-enriched_absdiknew	Luminal A_dikNew	Luminal A_sigEdge	Luminal A_dir	Luminal A_absdiknew	Luminal B_dikNew	Luminal B_sigEdge	Luminal B_dir	Luminal B_absdiknew
AR_prot_NUDT6_mrna	AR_prot	NUDT6_mrna	tf	-0	died	died	0	-0	died	died	0	0.0407132	tf	up	0.0407132	0	died	died	0
AR_prot_RARA_mrna	AR_prot	RARA_mrna	tf	-0.637492	tf	down	0.637492	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_RARRES3_mrna	AR_prot	RARRES3_mrna	tf	-0.161454	tf	down	0.161454	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_TPO_mrna	AR_prot	TPO_mrna	tf	-0.418106	tf	down	0.418106	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_UCN_mrna	AR_prot	UCN_mrna	tf	-0.0335227	tf	down	0.0335227	0	died	died	0	0	died	died	0	0	died	died	0
ASCC3_prot_FBXO5_mrna	ASCC3_prot	FBXO5_mrna	tf	0	died	died	0	0	died	died	0	-0.0153789	tf	down	0.0153789	0	died	died	0
ASCC3_prot_YRDC_mrna	ASCC3_prot	YRDC_mrna	tf	0	died	died	0	0	died	died	0	-0.0643302	tf	down	0.0643302	0	died	died	0
ASNS_prot_KYNU_prot	ASNS_prot	KYNU_prot	ppi	0	died	died	0	0	died	died	0	-0.0048208	ppi	down	0.0048208	-0	died	died	0
ATAD2_prot_ANLN_mrna	ATAD2_prot	ANLN_mrna	tf	0	died	died	0	0	died	died	0	-0.509392	tf	down	0.509392	0	died	died	0
ATAD2_prot_ASPM_mrna	ATAD2_prot	ASPM_mrna	tf	0	died	died	0	-0	died	died	0	-0.133872	tf	down	0.133872	0	died	died	0
ATAD2_prot_AURKA_mrna	ATAD2_prot	AURKA_mrna	tf	0	died	died	0	0	died	died	0	-0.52919	tf	down	0.52919	0	died	died	0
ATAD2_prot_BUB1B_mrna	ATAD2_prot	BUB1B_mrna	tf	0	died	died	0	-0	died	died	0	-0.171676	tf	down	0.171676	0	died	died	0
ATAD2_prot_BUB1_mrna	ATAD2_prot	BUB1_mrna	tf	0	died	died	0	-0	died	died	0	-0.268189	tf	down	0.268189	0	died	died	0
ATAD2_prot_C5orf34_mrna	ATAD2_prot	C5orf34_mrna	tf	0	died	died	0	-0	died	died	0	-0.0543378	tf	down	0.0543378	0	died	died	0
ATAD2_prot_CCNA2_mrna	ATAD2_prot	CCNA2_mrna	tf	0	died	died	0	-0	died	died	0	-0.524924	tf	down	0.524924	0	died	died	0
ATAD2_prot_CCNB1_mrna	ATAD2_prot	CCNB1_mrna	tf	0	died	died	0	0	died	died	0	-0.184957	tf	down	0.184957	0	died	died	0
ATAD2_prot_CCNB2_mrna	ATAD2_prot	CCNB2_mrna	tf	0	died	died	0	-0	died	died	0	-0.426266	tf	down	0.426266	0	died	died	0
ATAD2_prot_CCNE2_mrna	ATAD2_prot	CCNE2_mrna	tf	0	died	died	0	0	died	died	0	-0.246972	tf	down	0.246972	0	died	died	0
ATAD2_prot_CDC25A_mrna	ATAD2_prot	CDC25A_mrna	tf	0	died	died	0	-0	died	died	0	-0.456455	tf	down	0.456455	0	died	died	0
ATAD2_prot_CDC6_mrna	ATAD2_prot	CDC6_mrna	tf	0	died	died	0	0	died	died	0	-0.504069	tf	down	0.504069	0	died	died	0
ATAD2_prot_CDCA2_mrna	ATAD2_prot	CDCA2_mrna	tf	0	died	died	0	-0	died	died	0	-0.107576	tf	down	0.107576	0	died	died	0
ATAD2_prot_CDCA7_mrna	ATAD2_prot	CDCA7_mrna	tf	0	died	died	0	-0	died	died	0	-0.356744	tf	down	0.356744	0	died	died	0
ATAD2_prot_CDKN3_mrna	ATAD2_prot	CDKN3_mrna	tf	0	died	died	0	0	died	died	0	-0.451031	tf	down	0.451031	0	died	died	0
ATAD2_prot_CENPA_mrna	ATAD2_prot	CENPA_mrna	tf	0	died	died	0	-0	died	died	0	-0.549395	tf	down	0.549395	0	died	died	0
ATAD2_prot_CENPE_mrna	ATAD2_prot	CENPE_mrna	tf	0	died	died	0	-0	died	died	0	-0.394657	tf	down	0.394657	0	died	died	0
ATAD2_prot_CENPL_mrna	ATAD2_prot	CENPL_mrna	tf	0	died	died	0	-0	died	died	0	-0.0173589	tf	down	0.0173589	0	died	died	0
ATAD2_prot_CENPN_mrna	ATAD2_prot	CENPN_mrna	tf	0	died	died	0	-0	died	died	0	-0.497939	tf	down	0.497939	0	died	died	0
ATAD2_prot_CHEK1_mrna	ATAD2_prot	CHEK1_mrna	tf	0	died	died	0	-0	died	died	0	-0.265601	tf	down	0.265601	0	died	died	0
ATAD2_prot_CKS2_mrna	ATAD2_prot	CKS2_mrna	tf	0	died	died	0	-0	died	died	0	-0.0775042	tf	down	0.0775042	0	died	died	0
ATAD2_prot_DBF4_mrna	ATAD2_prot	DBF4_mrna	tf	0	died	died	0	-0	died	died	0	-0.0537546	tf	down	0.0537546	0	died	died	0
ATAD2_prot_DEPDC1B_mrna	ATAD2_prot	DEPDC1B_mrna	tf	0	died	died	0	-0	died	died	0	-0.2746	tf	down	0.2746	0	died	died	0
ATAD2_prot_DEPDC1_mrna	ATAD2_prot	DEPDC1_mrna	tf	0	died	died	0	0	died	died	0	-0.405927	tf	down	0.405927	0	died	died	0
ATAD2_prot_DONSON_mrna	ATAD2_prot	DONSON_mrna	tf	0	died	died	0	0	died	died	0	-0.481096	tf	down	0.481096	0	died	died	0
ATAD2_prot_ERCC6L_mrna	ATAD2_prot	ERCC6L_mrna	tf	0	died	died	0	0	died	died	0	-0.152958	tf	down	0.152958	0	died	died	0
ATAD2_prot_ESR1_prot	ATAD2_prot	ESR1_prot	ppi	-0	died	died	0	-0	died	died	0	0	died	died	0	0.43994	ppi	up	0.43994
ATAD2_prot_EZH2_mrna	ATAD2_prot	EZH2_mrna	tf	0	died	died	0	-0	died	died	0	-0.180091	tf	down	0.180091	0	died	died	0
ATAD2_prot_FAM83D_mrna	ATAD2_prot	FAM83D_mrna	tf	0	died	died	0	-0	died	died	0	-0.357275	tf	down	0.357275	0	died	died	0
ATAD2_prot_FANCD2_mrna	ATAD2_prot	FANCD2_mrna	tf	0	died	died	0	-0	died	died	0	-0.126233	tf	down	0.126233	0	died	died	0
ATAD2_prot_FBXO5_mrna	ATAD2_prot	FBXO5_mrna	tf	0	died	died	0	-0	died	died	0	-0.196403	tf	down	0.196403	0	died	died	0
ATAD2_prot_FEN1_mrna	ATAD2_prot	FEN1_mrna	tf	0	died	died	0	-0	died	died	0	-0.129572	tf	down	0.129572	0	died	died	0
ATAD2_prot_GINS1_mrna	ATAD2_prot	GINS1_mrna	tf	0	died	died	0	-0	died	died	0	-0.48934	tf	down	0.48934	0	died	died	0
ATAD2_prot_GINS3_mrna	ATAD2_prot	GINS3_mrna	tf	0	died	died	0	0	died	died	0	-0.0996317	tf	down	0.0996317	0	died	died	0
ATAD2_prot_HMMR_mrna	ATAD2_prot	HMMR_mrna	tf	0	died	died	0	0	died	died	0	-0.113512	tf	down	0.113512	0	died	died	0
ATAD2_prot_KIAA1524_mrna	ATAD2_prot	KIAA1524_mrna	tf	0	died	died	0	-0	died	died	0	-0.00154293	tf	down	0.00154293	0	died	died	0
ATAD2_prot_KIF14_mrna	ATAD2_prot	KIF14_mrna	tf	0	died	died	0	-0	died	died	0	-0.194933	tf	down	0.194933	0	died	died	0
ATAD2_prot_KIF18A_mrna	ATAD2_prot	KIF18A_mrna	tf	0	died	died	0	-0	died	died	0	-0.323061	tf	down	0.323061	0	died	died	0
ATAD2_prot_KIF23_mrna	ATAD2_prot	KIF23_mrna	tf	0	died	died	0	-0	died	died	0	-0.188119	tf	down	0.188119	0	died	died	0
ATAD2_prot_KIF2C_mrna	ATAD2_prot	KIF2C_mrna	tf	0	died	died	0	-0	died	died	0	-0.618473	tf	down	0.618473	0	died	died	0
ATAD2_prot_KPNA2_mrna	ATAD2_prot	KPNA2_mrna	tf	0	died	died	0	-0	died	died	0	-0.173727	tf	down	0.173727	0	died	died	0
ATAD2_prot_LMNB1_mrna	ATAD2_prot	LMNB1_mrna	tf	0	died	died	0	0	died	died	0	-0.156356	tf	down	0.156356	0	died	died	0
ATAD2_prot_MAD2L1_mrna	ATAD2_prot	MAD2L1_mrna	tf	0	died	died	0	-0	died	died	0	-0.384076	tf	down	0.384076	0	died	died	0
ATAD2_prot_MCM10_mrna	ATAD2_prot	MCM10_mrna	tf	0	died	died	0	-0	died	died	0	-0.493284	tf	down	0.493284	0	died	died	0
ATAD2_prot_MCM4_mrna	ATAD2_prot	MCM4_mrna	tf	0	died	died	0	-0	died	died	0	-0.201918	tf	down	0.201918	0	died	died	0
ATAD2_prot_MKI67_mrna	ATAD2_prot	MKI67_mrna	tf	0	died	died	0	-0	died	died	0	-0.14359	tf	down	0.14359	0	died	died	0
ATAD2_prot_MND1_mrna	ATAD2_prot	MND1_mrna	tf	0	died	died	0	0	died	died	0	-0.489553	tf	down	0.489553	0	died	died	0
ATAD2_prot_NCAPG_mrna	ATAD2_prot	NCAPG_mrna	tf	0	died	died	0	-0	died	died	0	-0.452551	tf	down	0.452551	0	died	died	0
ATAD2_prot_NDC80_mrna	ATAD2_prot	NDC80_mrna	tf	0	died	died	0	-0	died	died	0	-0.449372	tf	down	0.449372	0	died	died	0
ATAD2_prot_NEK2_mrna	ATAD2_prot	NEK2_mrna	tf	0	died	died	0	-0	died	died	0	-0.0623698	tf	down	0.0623698	0	died	died	0
ATAD2_prot_NUF2_mrna	ATAD2_prot	NUF2_mrna	tf	0	died	died	0	-0	died	died	0	-0.189831	tf	down	0.189831	0	died	died	0
ATAD2_prot_NUSAP1_mrna	ATAD2_prot	NUSAP1_mrna	tf	0	died	died	0	-0	died	died	0	-0.133692	tf	down	0.133692	0	died	died	0
ATAD2_prot_PIF1_mrna	ATAD2_prot	PIF1_mrna	tf	0	died	died	0	-0	died	died	0	-0.458565	tf	down	0.458565	0	died	died	0
ATAD2_prot_PLK1_mrna	ATAD2_prot	PLK1_mrna	tf	0	died	died	0	-0	died	died	0	-0.598679	tf	down	0.598679	0	died	died	0
ATAD2_prot_PRC1_mrna	ATAD2_prot	PRC1_mrna	tf	0	died	died	0	-0	died	died	0	-0.140703	tf	down	0.140703	0	died	died	0
